yeild,N.rate,Variety,Replicate
15.5,"""0""","""V1""","""I"""
20.5,"""0""","""V2""","""I"""
15.6,"""0""","""V3""","""I"""
18.9,"""0""","""V1""","""II"""
15,"""0""","""V2""","""II"""
16,"""0""","""V3""","""II"""
12.9,"""0""","""V1""","""III"""
20.5,"""0""","""V2""","""III"""
15.9,"""0""","""V3""","""III"""
12.9,"""0""","""V1""","""IV"""
13.5,"""0""","""V2""","""IV"""
12.5,"""0""","""V3""","""IV"""
17.5,"""30""","""V1""","""I"""
24.5,"""30""","""V2""","""I"""
18.2,"""30""","""V3""","""I"""
20.2,"""30""","""V1""","""II"""
20.5,"""30""","""V2""","""II"""
15.8,"""30""","""V3""","""II"""
14.5,"""30""","""V1""","""III"""
18.5,"""30""","""V2""","""III"""
20.5,"""30""","""V3""","""III"""
13.5,"""30""","""V1""","""IV"""
17.5,"""30""","""V2""","""IV"""
11.9,"""30""","""V3""","""IV"""
20.8,"""60""","""V1""","""I"""
30.2,"""60""","""V2""","""I"""
18.5,"""60""","""V3""","""I"""
24.5,"""60""","""V1""","""II"""
18.9,"""60""","""V2""","""II"""
18.3,"""60""","""V3""","""II"""
13.5,"""60""","""V1""","""III"""
25.4,"""60""","""V2""","""III"""
22.5,"""60""","""V3""","""III"""
18.5,"""60""","""V1""","""IV"""
14.9,"""60""","""V2""","""IV"""
10.5,"""60""","""V3""","""IV"""
